Sentence,Sign Language
මම නිරෝගී කෑම කන්න කැමතියි,මම නිරෝගී කෑම කනවා කැමති
මගේ අක්කා පොතක් ලියනවා,මගේ අක්කා පොත ලියනවා
මම තැඹිලි පාටට කැමතියි,මම තැඹිලි පාට කැමති
මම දන්නවා නැන්දා නරකයි කියලා,මම දන්නවා නැන්දා නරක
හොරා වේගයෙන් දිව්වා,හොරා වේගවත් දුවනවා
පොලිසිය හොරා ලුහුබදිනවා,පොලිසිය හොරා ලුහුබදිනවා
පුතා පරිගණකය හදනවා,පුතා පරිගණකය හදනවා
අපි පන්සලට හෙට යනවා,අපි පන්සල හෙට යනවා
මේසය උඩ පොතක් තියෙනවා,මේසය උඩ පොත තියෙනවා
වෛද්‍යවරයා රෝහලේ වැඩකරනවා,වෛද්‍යවරයා රෝහල වැඩකරනවා
අයියයි නංගියි සෙල්ලම්කරනවා,අයියා නංගි සෙල්ලම්කරනවා
තාත්තා දොරේ අගුල හදනවා,තාත්තා දොර අගුල හදනවා
ඇය ඇදුම් ඉරනවා,ඇය ඇදුම ඉරනවා
අම්මා ආහාර උයනවා,අම්මා කෑම උයනවා
ඊයේ මම චිත්‍රපටයක් බැලුවා,ඊයේ මම චිත්‍රපටය බලනවා
අපි ඉරිදාට පල්ලියේදී හමුවෙමු,අපි ඉරිදා පල්ලිය හමුවෙනවා
මල්ලි අන්තර්ජාලයේ චිත්‍රපටය හොයනවා,මල්ලි අන්තර්ජාලය චිත්‍රපටය සොයනවා
ඇය බබාට තොප්පිය පලදනවා,ඇය බබා තොප්පිය පලදනවා
මම හෙට බසයේ බැංකුවට යනවා,මම හෙට බස් බැංකුව යනවා
අගහරුවාදා ඔහු පියා සමග බැංකුවට යනවා,අගහරුවාදා ඔහු තාත්තා සමග බැංකුව යනවා
මම නංගි සමග දුරකතනයෙන් කතා කරනවා,මම නංගි සමග දුරකතනය කතාකරනවා
මගේ සහෝදරයා රෝහලේ සිටී,මගේ සහෝදරයා රෝහල ඉන්නවා
දින දෙකකට පසුව මම නිවසට එනවා,දින දෙක පස්සේ මම නිවස එනවා
සහොදරී බෑගය ඇතුලේ පොත සොයනවා,අක්කා බෑගය ඇතුල පොත සොයනවා
මට දුම්රිය එනවා පේනවා,මට දුම්රිය එනවා දකිනවා
"ආයුබෝවන් , ඔයාට කොහොමද",ආයුබෝවන් ඔයා කොහොමද
"ස්තුතියි , ඔයාට කොහොමද",ස්තුතියි ඔයා කොහොමද
කාගේද මේසය උඩ තිබෙන බෑගය,කාගේද මේසය උඩ තියෙනවා බෑගය
අද සීතල උදෑසනක්,අද සීතල උදෑසන
ඔහු හොද ක්‍රීඩකයෙක්,ඔහු හොද ක්‍රීඩකයා
මේ ගැටලුව අමාරුයි,මේ ගැටලුව අමාරු
ඒක වේගවත් බසයක්,ඒක වේගය බස්
ඔහු වේගවත් ක්‍රීඩකයෙක්,ඔහු වේගය ක්‍රීඩකයා
මම ඔබගේ ඇදුමට කැමති නෑ,මම ඔයා ඇදුම කැමති නෑ
බබා මාර්ගයේ දුවනවා,බබා මාර්ගය දුවනවා
මම දැන් ආහාරය කනවා.,මම දැන් කෑම කනවා
අයියා බල්ලා මිලදීගන්නවා,අයියා බල්ලා මිලදීගන්නවා
ඔහු සුදු තොප්පියක් පළදිනවා,ඔහු සුදු තොප්පිය පළදිනවා
මම ඔයාගේ නංගිට ආදරෙයි,මම ඔයා නංගිට ආදරෙයි
එයා රෝස මලක් ගෙනාවා,එයා රෝස මල ගෙනෙනවා
අපිට අද නිදහස් වේලාවක් තිබුණා,අපිට අද නිදහස වේලාව තියෙනවා
ඔයා අද බැංකුවට ගියා ද?,ඔයා අද බැංකුවට යනවා ද
අපි ගෙදරට යනවිට සාප්පුවෙන් කිරි ගන්නවා,අපි ගෙදර යනවා සාපිපුව කිරි ගන්නවා
ඔයට කොපමණ මුදල් ඕනා ද?,ඔයා කොපමණ මුදල් ඕනා ද
ඔයාගේ නිල් ඇඳුම ලස්සනයි,ඔයා නිල් ඇදුම ලස්සන
තාත්තා රෝහලේ වැඩ කරනවා,තාත්තා රෝහල වැඩකරනවා
මගේ අයියා පාසල වෙත යනවා,මගේ අයියා පාසල යනවා
ඊයේ මම පොත් මිලදී ගත්තා,ඊයේ මම පොත මිලදීගන්නවා
අම්මා මට පාසලට යන්න මග පෙන්නනවා,අම්මා මට පාසල යන්න මඟපෙන්වනවා
"මම දන්නවා , මට ඒක පුලුවන්",මම දන්නවා මට ඒක පුලුවන්
මම හෙට උදේ නැගිටිනවා,මම හෙට උදේ නැගිටිනවා
